,WV,FL,IL,MN,MD,RI,ID,NH,NC,VT,CT,DE,NM,CA,NJ,WI,OR,NE,PA,WA,LA,GA,AL,UT,OH,TX,CO,SC,OK,TN,WY,ND,KY,ME,NY,NV,MI,AR,MS,MO,MT,KS,IN,SD,MA,VA,DC,IA,AZ
WV,0.0,397511.82033547503,681634.1253922243,69710.44525965973,1385752.0673502027,156179.65223654133,758.9615895168132,128829.99315145842,1711785.3476883455,98357.79121161178,362942.2904735793,421064.26025095605,5939.0942746460105,1377.313635059041,1015891.4510975617,216383.30309792355,326.23589612432284,24008.56401179751,1970522.9675593392,341.80300230307785,111604.75591302855,760182.5452847598,359944.7686519939,2365.9812049428733,2300231.176585582,73052.87191717766,12467.161264274975,815861.7757850871,56218.51573204044,788797.4778057213,2203.9048861854503,6699.230607237423,958026.3676150948,62133.22829578114,1119733.6769003328,767.5353638830344,470568.86696555885,137281.75628276102,174456.20306647473,235781.5463623697,1333.5772019397868,43890.93276553165,935939.6022181824,11515.287931115194,366856.88677662035,2297364.422121689,498203.02361725504,115851.5375779692,3212.7995812589083
FL,397511.82033547503,0.0,514770.94564324484,37774.47840686244,524446.1765970759,63791.63589984496,1390.772965633793,42127.943852334225,2030004.7852350401,29068.38535666069,134627.40899552204,182955.39375259305,28506.01655037369,5362.546744023082,387828.6340414955,94560.72737540999,720.8303758911267,34704.965667698,492226.25940190937,564.7421725045981,1161741.2253543264,5073109.721301147,2407890.245461607,6794.799187261328,632277.205750189,552683.2671196631,32337.222519223742,2452960.874367506,203373.8452810556,1482004.9128904066,3728.951751244609,4985.355427126873,829138.2498086463,20754.03863997378,292948.4808288425,2387.547402459305,141188.31258332334,506354.44136683794,1166969.890718673,367537.74221534806,1607.56769745624,95728.34153957322,495593.4877930425,11626.560046965462,140013.42760495495,1065823.1193824972,182808.2466255872,98742.78945555743,15967.351162774137
IL,681634.1253922243,514770.94564324484,0.0,933457.7296303605,543377.2434786827,72463.7909585024,14254.278755227038,72997.8300836857,874068.6314058366,60850.10997926678,171910.09545211607,165674.72591043924,86512.52255259141,23681.867172645776,432771.345156573,2224460.2842496857,6108.173094019493,450138.9975829949,1031007.0566221585,6384.145997840176,578523.6830563735,1031148.6523590167,980045.98348021,42209.63083914191,2922450.23492432,728255.9911747569,219912.47707033914,639225.7760578686,741110.1184470485,2396228.6217732984,41381.04040269821,107656.6957223865,2426682.6318939147,37789.161194889566,704875.6751955176,13712.838262638925,2230032.9221033086,1203079.461745619,790568.061563418,3610152.6555154608,24282.849276859964,743198.9984307232,4905274.14667622,208306.30303336045,178807.46479403652,904194.4796497885,194705.6043206704,2105457.7549632145,49196.748343148436
MN,69710.44525965973,37774.47840686244,933457.7296303605,0.0,65696.22260871183,12963.908305952036,32483.83463215274,16919.936207973016,74349.4261365844,14980.99830319602,30379.87002092958,20802.6403618976,43093.82023848471,27655.0224219604,62578.59927417171,1864404.0138453029,13088.356596615346,472890.977229302,155317.9561067885,18431.220317107025,59535.88513148121,75201.30158560649,74676.75911354514,50366.58931968078,353109.294405728,154390.51594507002,196617.75133544992,48819.23701727036,179601.9999357988,174965.4668473675,77324.65332445658,500648.4828751107,183932.37011278007,10544.986483270959,148500.48368108275,18356.38007032847,1096245.5163225082,138456.02768010518,69178.30945182763,514381.5107341038,79198.35520549171,316263.62289150705,441801.7821278182,512153.25241483253,34204.23536311176,89297.00922759676,23202.390966722982,1120068.9094808176,33377.39124852954
MD,1385752.0673502027,524446.1765970759,543377.2434786827,65696.22260871183,0.0,652815.1708549707,610.5421284132894,479353.23297121207,2681896.065102435,340621.4837837232,1472467.6973613414,1876452.471938328,4606.951715513046,1065.375579030708,4309835.53166547,207633.0446795536,259.5946141925052,19129.019916234207,4819082.2113976395,280.4364342391222,97392.33371109985,829181.1083688858,331463.67852440843,1839.381124393282,2094016.285566763,58822.532446198595,9681.61701949291,1050466.4506486855,43671.354343112274,644559.1852381375,1765.70310300794,6023.419454016235,747063.1527472531,231197.98792700697,3371322.0977229783,596.6273568268894,529840.6416043247,108795.80283985387,150153.45000315265,182454.27332063133,1123.1339737651429,34000.31038847883,751460.6307169653,9654.182986837128,1489547.6626081541,4021151.888761349,1917364.9184553127,95361.19314731707,2487.197322289041
RI,156179.65223654133,63791.63589984496,72463.7909585024,12963.908305952036,652815.1708549707,0.0,91.66949918072015,653488.459807904,302588.76902967895,379464.08375145483,1518366.0414366745,328131.8245829131,533.5744468252844,134.0665516855064,1405485.6722266953,39566.45884239757,37.8532157876932,2695.7430667246313,912498.136316214,45.076672027083426,10293.889627550267,90307.25225573778,35074.94953983939,239.88570823916055,291670.53936871025,6366.388121297189,1245.1201066365247,117733.33241882297,5004.223790094249,69371.49558921768,258.3643167634204,1138.7643209147814,83755.28407649117,351829.42815981474,1744632.8103736062,78.09112703828612,118816.62640354884,11957.937334204027,15893.144103123106,22304.767321544587,189.6562308134153,4249.931704627512,98625.89021764166,1558.9162600203836,2345067.0266403644,427111.4069818073,203766.49029206028,14176.640493500792,292.25550400718924
ID,758.9615895168132,1390.772965633793,14254.278755227038,32483.83463215274,610.5421284132894,91.66949918072015,0.0,107.59850573049926,1057.4986650933631,93.94160532090824,217.33082845985487,186.87175479041028,62148.64001055646,793283.1880272949,506.45373411179685,12762.55123078051,740877.6769995567,61729.669471872025,1248.4300234129782,744425.7741103614,5062.18950274053,1956.110210337052,2673.4456830244917,460407.67889947613,3401.044148391522,49007.773069160976,242072.61847369125,914.5241363500489,26887.197502241845,4008.0414000039273,198189.46601358376,43871.58695927282,3030.875684633629,63.07134172803376,1000.4193164134745,496327.26406057953,6871.107233379503,8112.508227615026,3516.8125916677122,17501.877091971244,350379.6205536731,40994.51737253172,5485.803098279767,51147.5656322455,234.33285920812645,1013.6525291568258,218.42278091987617,20776.000016216407,181841.6973335522
NH,128829.99315145842,42127.943852334225,72997.8300836857,16919.936207973016,479353.23297121207,653488.459807904,107.59850573049926,0.0,210058.16665701597,717369.1097413119,1119513.073993021,227703.69569841545,502.7510949189441,138.7177089875094,1007263.8111512252,49252.69486154315,43.84788391806588,2951.1292617949925,831967.1890128896,55.59808149658043,8036.428564438849,64381.76850008261,26588.796984561715,253.63841383054165,281009.34616689064,5422.861482552599,1290.5142108595728,81842.77510150506,4596.7297777106505,56852.43735593767,295.0532896033459,1488.7200468037938,71919.59250943651,661553.0753007744,2091821.717798716,83.25816687145395,154215.96501876778,10318.464259914721,12542.662459215433,21452.49313083264,237.5946990620863,4241.190477182198,96132.84743489117,1862.7201065568925,1958649.6158243474,313469.6357808275,151301.7715256791,15698.446654760477,281.36254657192944
NC,1711785.3476883455,2030004.7852350401,874068.6314058366,74349.4261365844,2681896.065102435,302588.76902967895,1057.4986650933631,210058.16665701597,0.0,147894.33054374505,660255.1168952722,906298.9873929025,11507.939969731802,2376.7148290814857,1932076.6883486495,223938.8666180149,473.56554896969413,33312.88707466776,2485338.476863227,456.2752564469396,321225.6484195925,3098207.1447371547,1118081.1337837195,3808.854935557975,2257534.881271116,171513.35074018684,20001.624531547048,4058299.600533361,107291.84674340737,1703188.2621753158,3071.36074621381,7568.9059231863885,1565898.374277672,101953.96468582955,1505357.3902226032,1246.1425842769888,454178.6528964579,288549.8519533299,475602.880071778,369133.71027859254,1670.3706664418473,70471.26598042769,1120922.206196154,14243.911245743227,675209.9449465827,5431660.059187878,938400.0396727984,143752.25480856304,6131.6257215958485
VT,98357.79121161178,29068.38535666069,60850.10997926678,14980.99830319602,340621.4837837232,379464.08375145483,93.94160532090824,717369.1097413119,147894.33054374505,0.0,712746.5635124726,156023.94602984196,414.50800936052156,117.8057586232505,688561.1040727459,43207.71516889946,38.207607463385166,2531.3534737922555,646408.7667192712,48.98215233813979,6126.928064113612,46503.058425728275,19897.64939695609,216.33754515009815,228383.53196694207,4305.580146118213,1093.698388298872,57998.93086038021,3746.167644582662,43960.994857342565,255.95649395981656,1319.9762446020466,56518.040729684384,396305.33522013994,1718044.794050498,71.21342862690193,135920.52606326673,8197.629652427684,9588.686889234386,17687.911356290108,209.63661522961777,3548.347815593843,79038.06141024489,1627.9976106360082,1123197.1245851375,226014.22497425665,108324.48045826312,13465.894001590872,233.8455586739447
CT,362942.2904735793,134627.40899552204,171910.09545211607,30379.87002092958,1472467.6973613414,1518366.0414366745,217.33082845985487,1119513.073993021,660255.1168952722,712746.5635124726,0.0,721071.9280591035,1257.5042414715347,318.01635201622094,3163288.6999535062,93142.36606464717,89.80409612979051,6401.776290253561,2161652.3250381323,106.54331070455352,23425.136680322303,199140.53135234085,79181.1285240191,569.4873227143997,691286.0615697115,14784.43671364983,2954.527445512519,256707.9849235654,11767.407271985086,160264.60874317266,613.1107321700281,2671.2372436432356,195521.89883624023,555018.1197371919,4002454.987843662,185.41097563373714,277663.6197490399,27872.08448915793,36305.12271591274,52739.94332709522,447.43634517850506,10069.7258632551,233685.6480668125,3689.6382484735245,3637895.102749511,958701.1730431162,461384.4348104142,33655.44039170628,690.074366439981
DE,421064.26025095605,182955.39375259305,165674.72591043924,20802.6403618976,1876452.471938328,328131.8245829131,186.87175479041028,227703.69569841545,906298.9873929025,156023.94602984196,721071.9280591035,0.0,1403.1238814872743,323.62865054453533,2098463.3426384185,65750.31666202942,79.27068951902457,5838.864755914843,1667001.345689237,86.25545193048421,30640.526533202315,272054.32244434353,105167.82790446214,559.0330564648813,645372.4811882946,18130.145966370346,2941.9555736322177,352335.11694655585,13306.069303082435,198537.45856846872,539.7986264974456,1890.6525435552858,227634.4443276231,111152.97840026948,1401183.0165906115,181.32924305928904,172954.69089452285,33340.87545305618,46983.02474444344,55424.078998149664,347.4355953159413,10328.805400391813,229170.8798648619,2979.649744043228,736786.9486491164,1278109.2386348774,582767.0004770295,29274.407937616736,756.8828625934855
NM,5939.0942746460105,28506.01655037369,86512.52255259141,43093.82023848471,4606.951715513046,533.5744468252844,62148.64001055646,502.7510949189441,11507.939969731802,414.50800936052156,1257.5042414715347,1403.1238814872743,0.0,397891.405663185,3385.078193489702,32592.278470185178,43722.70497073209,178094.5155172966,7521.37069392991,27030.98585750609,114279.91135571209,29901.14470420282,43732.51046814838,413146.47313630447,21032.691041620044,1441117.2023369176,982157.3095984581,11918.64721830159,417234.1633869621,46169.73575104654,94145.05608255108,22581.417918928913,27772.63478577125,256.47365406218955,4837.938448790388,168316.5946525202,19815.3431823438,120082.58378099048,62418.23835396205,144182.9661806989,34073.73679948348,321360.0310567243,35485.793099006994,58014.00916959934,1286.9654880217652,8962.87657764817,1656.80531347571,76353.60484209028,1127996.6860838453
CA,1377.313635059041,5362.546744023082,23681.867172645776,27655.0224219604,1065.375579030708,134.0665516855064,793283.1880272949,138.7177089875094,2376.7148290814857,117.8057586232505,318.01635201622094,323.62865054453533,397891.405663185,0.0,813.5941612652284,13695.549945353345,1844435.4441541252,89013.23257899749,1908.9540114005977,830754.1964910784,21488.84636556599,5760.4783056148035,8389.693031399438,1716716.0020779243,5418.846229117732,278093.45336444286,619912.7362861622,2359.282750672605,86861.37911078609,9643.698664347368,199564.83897303572,28756.16610297825,6229.410774113765,74.7422195115553,1335.5828759082647,4512775.184528304,7485.840289929219,24134.06227380941,11899.550070174044,35938.83319570399,164521.12055088664,91869.04443105214,9199.951623081917,47871.24960403547,331.1863760951344,1973.4041158038171,382.8673446289319,28247.132154432515,2330253.068861036
NJ,1015891.4510975617,387828.6340414955,432771.345156573,62578.59927417171,4309835.53166547,1405485.6722266953,506.45373411179685,1007263.8111512252,1932076.6883486495,688561.1040727459,3163288.6999535062,2098463.3426384185,3385.078193489702,813.5941612652284,0.0,196575.97825528018,212.19196816795053,15501.911727009636,5214732.482035578,239.49891752624646,68018.99084186365,584688.2503826184,231262.89893568974,1430.4570413017007,1739638.4176590403,41729.99432637976,7490.537013137643,751640.8638291698,31959.384329553533,456270.662461967,1450.923658841127,5584.594383465951,542619.6641176102,490171.5621787572,5776332.799510272,464.3357257660732,548065.3998467171,77912.75980403509,105036.72207940971,138393.99429025,984.1712800448553,26005.180872175937,596469.8841857775,8337.114692610348,3207409.039397365,2810290.7862426843,1346499.1793081027,79731.62353069702,1839.4897318275023
WI,216383.30309792355,94560.72737540999,2224460.2842496857,1864404.0138453029,207633.0446795536,39566.45884239757,12762.55123078051,49252.69486154315,223938.8666180149,43207.71516889946,93142.36606464717,65750.31666202942,32592.278470185178,13695.549945353345,196575.97825528018,0.0,5171.22924049146,297377.85324158956,488913.806807257,6629.420501135188,105503.37048160657,195898.3095325928,171857.36579354084,25575.588161519685,1103745.1823130636,179346.173508117,118023.5468182756,138888.47046965925,205779.7144619259,437031.8482053384,33888.194227472864,167331.89637984723,502463.4514590396,29090.4758164399,447250.6213134637,8708.523233049473,3163891.7968584457,234759.64269150826,138681.141391077,848498.0898681617,28154.893948724308,292001.89819819207,1256634.8129689395,221105.56200628175,103289.89503640252,277619.39961971866,73304.31980757129,1390403.16408811,21313.831972553755
OR,326.23589612432284,720.8303758911267,6108.173094019493,13088.356596615346,259.5946141925052,37.8532157876932,740877.6769995567,43.84788391806588,473.56554896969413,38.207607463385166,89.80409612979051,79.27068951902457,43722.70497073209,1844435.4441541252,212.19196816795053,5171.22924049146,0.0,26614.14251140295,520.568239710123,1901585.8264212878,2772.454452737139,941.6616239638394,1319.2313029544657,330259.9803503196,1433.4056503886177,30697.247150267864,127492.39794020342,423.8228289834826,13953.767942746805,1845.59441250422,84331.41646840647,17941.557908749095,1344.3163651180234,25.5288070625835,409.7125519422397,722248.642148377,2780.931095566346,4014.238308284755,1786.4674171611853,7896.045014794269,154723.92381829454,19375.79334700039,2343.0146769054504,20737.210283754408,96.37538832721742,440.47607370055954,92.96892114857258,8686.771988722567,182780.58814122752
NE,24008.56401179751,34704.965667698,450138.9975829949,472890.977229302,19129.019916234207,2695.7430667246313,61729.669471872025,2951.1292617949925,33312.88707466776,2531.3534737922555,6401.776290253561,5838.864755914843,178094.5155172966,89013.23257899749,15501.911727009636,297377.85324158956,26614.14251140295,0.0,37721.19331410634,26848.507293619634,98397.13470128588,55838.900899072134,71440.39365299334,165759.53869651092,105069.04733597356,472316.2914868124,773411.60193983,27824.43585116258,477691.89212547924,121594.97505229925,179648.13524852652,194070.55829708194,95775.24838963717,1625.1780642261158,28174.21291200881,55091.14332179958,164471.53759525027,201201.10384537184,85580.64523661055,536063.2450765755,90312.2442896984,939783.546413548,172681.97633502385,542465.6281968263,6778.20959671805,32195.152335846073,6851.479124409316,614935.8811306282,134343.2235345027
