,WV,FL,IL,MN,MD,RI,ID,NH,NC,VT,CT,DE,NM,CA,NJ,WI,OR,NE,PA,WA,LA,GA,AL,UT,OH,TX,CO,SC,OK,TN,WY,ND,KY,ME,NY,NV,MI,AR,MS,MO,MT,KS,IN,SD,MA,VA,DC,IA,AZ
WV,0.0,60805.34228601123,52640.720088135145,12722.66279750064,36792.66352165291,4040.3975199730107,1022.8931819462885,4609.032009086833,61017.030047060216,2223.848029101489,14652.605491708124,5252.25801138667,1973.0314614019385,14045.435013326629,46285.49970580632,18973.94513229999,1522.3569717876899,3399.159425728993,77498.07904977186,2804.035849620918,10878.84407157562,45071.3469775313,18241.478692690805,2168.1344603636235,76013.80918823437,41902.05075706035,6361.824980894749,25485.744255240825,7727.6519500992035,32489.234823673876,540.3759929216211,1091.1293368304653,24697.93756201506,3594.7136133771314,92023.87499490748,1420.7067210452524,39181.68695348153,8502.953824592862,8993.207601504615,19333.845983545074,834.2196185201681,5687.0758217419425,34778.02939613055,1403.4010208024492,25689.40970249247,58395.46445212902,4134.591003869263,9125.549872043677,4291.143498298648
FL,60805.34317598256,0.0,344128.10379203415,72056.74267954618,184519.92215273125,20364.751422228263,8176.426148822496,21539.772347958497,472694.71853966924,10082.456076832736,71772.85443950715,27526.093040621305,23945.51903011456,145070.38459643847,230905.4722276952,100535.56148117935,12563.38165095381,26889.98536180358,336584.2472910222,20821.94428689646,194997.07350253337,697661.1199847453,281203.87326126546,20842.091460037453,344527.88400298834,636462.178646739,60952.58422099842,285737.53474897984,88211.86665379323,302550.63422632875,4355.555026779977,6739.266127851449,171476.47680270163,16783.794763384347,403977.6548637443,13668.66625764504,182532.39388300627,100785.30275214487,137046.22749504555,163934.67650808638,5866.313687402175,53065.990503967834,200354.1826173341,9695.284049372078,126493.2853789077,317596.0215676905,20511.898633866454,61073.17122448302,51009.76260033256
IL,52640.7206973451,344128.10273782484,0.0,160750.64928656505,135584.4250704653,16151.75197494748,14758.7515064972,19981.82936898636,244334.53904236207,9945.780628162507,58908.59102402963,19411.088424792382,27369.095668731567,204294.77077800035,177229.71861828247,218953.50823167167,22005.136880980048,49542.73513395515,319562.4417949264,39694.78971107015,103913.70118656989,259611.2365088703,136405.7244071431,31586.477233448026,425155.91690270446,510088.0446447205,92315.01370825876,119538.17520779764,102489.34673716883,251568.26736516127,7842.108982475873,14609.487785505595,178155.40524975423,16153.435516169919,409783.78821220127,20720.548943311966,344438.59992875205,97284.54109714545,81253.99518564806,265709.2588843828,11716.18765856618,81334.50935174288,322216.51984734717,19868.324671613314,104830.95805280664,213640.66234926318,15211.137771285934,130455.41578144582,60746.73922122846
MN,12722.662884205532,72056.74211596124,160750.64852171612,0.0,35333.27267582453,4975.02133472707,10736.908146897173,6770.852003169242,55090.93070094554,3429.3094394851087,17976.75914918323,5151.462656885663,11760.387236495844,122611.29900478551,49756.874712210214,107233.57866964496,16079.016697788771,26760.612882732563,90187.39660732957,31606.671203142658,24555.689364645743,54395.80743428934,28907.981038065845,18580.15495836055,108813.48339270764,158389.29825842602,48231.36718382403,25678.050873569082,33198.683931005864,52655.68768282648,5248.570273484511,12722.619677324987,37995.67871004178,5913.202839925581,131811.3452607962,12889.943704214442,141190.91310369028,23948.89967077742,18090.740543738462,70314.60900225896,9374.306626151134,32164.474060502787,73305.33747664763,14204.466642854719,33116.43667999783,51179.23506958073,3938.6300997465337,55038.298688866824,29664.8822383645
MD,36792.66378956798,184519.9207956523,135584.42448864185,35333.27269231658,0.0,18803.18074969896,2702.123231650602,20492.466355699766,198403.83835145814,9637.761730472006,67464.56835685438,25179.16072905605,5000.090623481274,36068.996281938365,217365.06682010335,52828.06766820252,4018.0703575258385,8824.14723251615,299308.38337446,7544.869234243561,28415.297252336317,128044.97695570748,48716.08288838529,5580.0470853017405,205468.60254787005,106650.23751299585,16301.350927574753,77026.6625707544,19566.975819985186,83501.34771372803,1415.522048210462,2998.2899466299796,62642.171114704965,15925.98195957045,381111.1090620021,3667.236303154114,115372.58957992028,21612.460861921438,23440.02527149047,49117.26025177486,2248.523181445451,14493.336715732912,89706.19494743149,3737.1099947351686,118166.15742419807,197987.2018009431,18766.56652460244,23943.54977558641,10896.623121100747
RI,4040.39750828227,20364.75106523696,16151.751741289097,4975.021286427282,18803.180558372544,0.0,358.72337780473947,5447.360276419684,21513.772098602934,2392.298659528171,16313.795691641917,3206.4519269918856,576.6313308021188,4451.857643852862,34764.99119877584,7266.00283470783,534.9499664026628,1102.0761737371538,39882.30285905255,1049.3618173428172,3043.202169704067,13713.788726288465,5196.14118925136,690.1671390408582,24606.70076812129,11715.734181168938,1977.9372287074268,8324.301201167415,2214.489031235409,9036.930892141405,182.81702541565187,422.95080864693153,6904.255912026184,4382.819892334152,72792.84931011035,459.24945832777695,16674.63720279312,2378.378133222509,2513.48631284451,5678.932039888927,310.34106425693693,1711.8955692985726,10563.841367001913,494.58821506482633,33090.06088530208,21119.371945235318,2006.2768057498706,3014.613260759159,1278.626446699413
ID,1022.8931820968148,8176.426030352273,14758.751337866339,10736.908075305208,2702.123212372047,358.7233788954811,0.0,483.878912669718,4708.110979868241,245.02097284390067,1299.9342734016232,389.85099071752694,5111.302173114706,146389.19071977757,3682.8185992049675,7918.308158260882,22724.723821216154,5116.998903798174,6710.823834841664,37995.8309562284,3831.75759779969,5615.5158603201,3350.119431333585,15107.983170406565,8553.882147359343,39834.09327047829,19812.193519593176,2382.235897060869,6481.801795573251,5326.778540913841,2744.453684404112,2209.04294635294,3480.963766877626,423.72951382123716,9489.26827341156,15045.183733907816,10176.253192727543,3353.8597570403062,2376.3474399293127,8338.52560555705,5682.010047406507,6061.70230878886,6250.287173434071,2527.9627566874483,2379.347224246317,4126.605893976196,302.3290610167849,5479.624097331081,20554.420936768198
NH,4609.032001921698,21539.771999208344,19981.8291066736,6770.8519465000445,20492.4661746214,5447.36028371303,483.87891184628035,0.0,23076.708411033276,3611.7902570083315,17742.013998136506,3423.513768117815,713.9701704336817,5793.617784731559,37486.93224003974,9683.203697326133,724.3942434773426,1425.4528370488767,46931.218312639714,1449.5389475949983,3456.089057609809,14917.941455372093,5801.566501700255,896.0505908896981,29714.006968312413,13859.532489709663,2529.973476517623,8949.484897935976,2685.7826383118304,10369.285447346854,242.28918347053707,580.9256939523815,8040.92783318259,6624.468865400432,93944.72198149454,601.8235259536145,22396.827630996297,2801.4932501046915,2857.099069451641,6947.656719706111,425.11652868540807,2140.312473953948,12870.995157766123,659.3021158006624,37693.53406115294,23081.24919866247,2196.4888487683547,3880.7497569329307,1607.2884286736944
NC,61017.0306799053,472694.7165237271,244334.53874882706,55090.93089688294,198403.8389644985,21513.772383984775,4708.111028006117,23076.708686250713,0.0,10843.756286218508,76477.73353482597,29339.55658971805,10279.825047135108,68736.19515515909,246731.40401118196,81571.05663717604,7031.91880662571,15943.028867140058,358838.76742452907,12633.050005915822,67306.26506791335,322455.48652240355,117345.42062042435,10497.675961449093,322207.2328313062,237203.6671959951,31076.26502945825,196851.769173202,40698.09913017588,182798.87216186503,2510.8740596398334,4782.005857554764,125750.10993007584,17946.94795210925,434059.4015917513,6842.778401690279,164987.8861049811,46857.75503989511,54832.74071853288,95824.32063719434,3737.127557886818,28122.00011177826,158001.94072154287,6331.931367443541,134288.82213096865,340291.33262751985,22073.73209240593,41562.36534445264,22007.989911114415
VT,2223.8480156684805,10082.455868359459,9945.780452983357,3429.3093953998605,9637.76160207594,2392.298651999675,245.02097132781083,3611.790240806386,10843.756108250256,0.0,8033.086440749929,1590.3211594149243,356.4293022778192,2921.6502645679184,17389.35001847263,4891.15915097208,366.9524710379371,717.4993839901955,22734.36397464272,735.0894799354619,1677.314388686557,7085.851610557152,2791.9616180165526,451.59657112178337,14638.695215930182,6830.149477446447,1271.4859817728666,4218.7605103899705,1332.599544412954,5039.935336608557,122.44221822415939,294.4733272502929,3925.521927181164,2949.0342025587647,46279.04389549471,303.7700754469561,11317.33075028079,1376.846301504729,1386.0973773961973,3451.610754930614,215.48829394303135,1070.0064018947219,6373.26767919172,333.31791254595055,16479.40592268261,10923.878140745304,1035.9034593054723,1950.3766778213098,805.3387049934591
