State,Cluster,Coverage_95_Test,Coverage_50_Test,WIS_Train,WIS_Test,MAE_norm_train_mean,MAE_norm_test_mean,MAE_norm_test_q025,MAE_norm_test_q975,wMAPE_train_mean,wMAPE_14d_mean,wMAPE_14d_q025,wMAPE_14d_q975,wMAPE_test_mean,wMAPE_test_q025,wMAPE_test_q975,PerCapita100k_test_mean,PerCapita100k_test_q025,PerCapita100k_test_q975,PeakShift_test_mean,PeakShift_test_q025,PeakShift_test_q975,PeakAmp_ratio_test_mean,PeakAmp_ratio_test_q025,PeakAmp_ratio_test_q975
AL,Connectors,0.99,0.64,1739.153,1177.026,0.5149,0.393,0.2156,0.619,0.717,0.473,0.21,0.773,0.555,0.195,1.3,27.86,9.8,65.27,8.0,-0.1999999999999993,10.0,-0.048,-0.756,1.153
CA,Hubs,0.38,0.0,10602.491,29510.491,0.6189,0.6606,0.2211,1.2414,0.511,0.684,0.35,0.853,0.511,0.205,0.757,32.67,13.08,48.37,7.0,4.225,10.55,-0.517,-0.794,-0.073
CO,Connectors,0.91,0.48,1931.579,2192.249,0.391,0.6462,0.3412,1.258,0.414,0.354,0.251,0.578,0.661,0.316,1.698,33.68,16.08,86.54,10.9,6.45,17.1,-0.011,-0.567,0.686
CT,Connectors,0.86,0.24,617.337,2166.905,0.4445,0.7468,0.4659,2.0369,0.407,1.159,0.176,4.763,1.128,0.301,3.596,54.61,14.56,174.02,3.0,-0.5499999999999998,6.775,1.227,-0.137,5.597
DC,Periphery,0.31,0.2,202.044,3820.487,0.5756,1.7905,0.7709,3.7286,0.845,5.995,0.711,23.295,11.741,1.793,40.146,559.81,85.49,1914.12,39.1,6.225,154.65,8.611,0.628,28.457
DE,Periphery,0.42,0.17,136.246,1700.284,0.4247,0.9113,0.4215,1.8786,0.405,1.277,0.188,3.05,1.991,0.441,4.145,114.88,25.44,239.21,18.3,-1.0999999999999996,117.82500000000006,1.556,0.034,3.587
FL,Hubs,0.2,0.12,13902.616,12558.316,0.732,1.0511,0.7325,1.4666,0.575,0.425,0.11,0.741,0.473,0.304,0.664,27.65,17.74,38.8,9.0,2.6750000000000003,15.0,-0.268,-0.662,0.38
IA,Connectors,0.86,0.34,499.699,833.877,0.2864,0.4169,0.259,0.6927,0.274,0.456,0.095,1.129,0.492,0.171,1.094,18.56,6.45,41.24,-0.4,-5.775,3.7750000000000004,0.406,-0.26,1.251
ID,Periphery,1.0,0.51,511.312,652.758,0.4809,0.5902,0.4078,1.1539,0.928,1.117,0.1,4.836,0.973,0.279,3.542,43.18,12.4,157.18,2.9,1.225,4.550000000000001,1.288,-0.145,5.502
IL,Hubs,1.0,0.25,3047.224,7573.865,0.5257,1.0332,0.5864,1.9085,0.429,0.822,0.395,1.738,1.004,0.402,2.954,54.59,21.89,160.65,8.4,1.4500000000000002,21.975,0.815,-0.682,1.993
IN,Connectors,1.0,0.51,1166.287,952.239,0.3651,0.548,0.3294,0.939,0.312,0.316,0.073,0.697,0.35,0.14,0.676,14.98,6.0,28.94,-6.5,-9.775,-0.12499999999999822,0.079,-0.393,0.688
KS,Connectors,0.72,0.52,379.151,882.811,0.2789,0.4898,0.2931,0.7288,0.289,0.316,0.056,0.71,0.504,0.181,0.98,27.18,9.76,52.84,3.5,-1.6499999999999995,6.775,0.036,-0.565,0.739
KY,Connectors,0.79,0.34,1001.789,1348.871,0.3606,0.4688,0.2707,0.6786,0.383,0.43,0.093,1.099,0.391,0.201,0.715,26.45,13.58,48.37,-5.6,-11.55,0.32500000000000107,-0.028,-0.526,0.811
LA,Connectors,0.62,0.41,2407.879,1025.287,0.5286,0.4327,0.2951,0.6394,0.822,0.389,0.136,0.781,0.412,0.158,0.855,22.89,8.78,47.48,-7.6,-14.325,1.325000000000001,0.046,-0.731,0.917
MD,Connectors,0.9,0.37,968.658,2754.122,0.3336,0.5355,0.295,0.8916,0.355,1.365,0.24,4.835,1.15,0.295,3.535,40.61,10.41,124.84,6.3,3.0,9.775,1.36,-0.286,5.383
ME,Periphery,0.56,0.09,214.173,1585.022,0.326,0.9217,0.5949,2.3281,0.293,1.9,0.923,4.479,3.04,0.667,18.093,160.37,35.21,954.59,-22.0,-39.0,77.62500000000006,1.849,-0.403,15.709
MI,Connectors,0.62,0.17,1817.862,5852.176,0.3588,0.8916,0.2754,1.7368,0.293,0.975,0.295,1.813,0.703,0.232,1.51,34.04,11.23,73.16,-6.8,-10.549999999999999,0.20000000000000284,0.771,0.14,1.499
MN,Connectors,0.89,0.46,1144.872,1389.78,0.4204,0.45,0.2614,1.0508,0.292,0.246,0.061,0.531,0.358,0.239,0.555,18.93,12.62,29.32,-9.5,-15.875,-4.225,-0.226,-0.531,0.181
MO,Connectors,0.75,0.22,1671.104,2274.812,0.4323,0.418,0.2519,0.6057,0.466,0.549,0.066,1.277,0.622,0.199,1.325,27.51,8.82,58.63,2.1,-2.775,4.0,0.536,-0.104,1.506
MS,Connectors,0.95,0.53,1795.389,1482.012,0.5258,0.5284,0.4188,0.709,1.063,0.603,0.153,1.536,0.82,0.235,1.749,43.66,12.49,93.18,4.2,-1.6499999999999995,8.0,0.941,-0.307,2.569
MT,Periphery,1.0,0.5,237.083,250.602,0.4274,0.7884,0.3056,1.7627,0.516,0.404,0.049,1.305,0.627,0.173,2.111,28.89,7.96,97.23,1.4,-7.749999999999999,5.550000000000001,-0.055,-0.654,1.275
NC,Connectors,0.95,0.03,2396.776,4437.255,0.4821,0.9335,0.6455,1.5676,0.406,0.346,0.071,0.712,0.457,0.225,0.706,28.92,14.22,44.68,-0.2,-7.875,5.775,-0.335,-0.729,0.1
NE,Periphery,0.43,0.23,426.232,1112.481,0.4078,0.7172,0.5423,1.1005,0.533,0.579,0.108,1.762,0.781,0.312,1.664,35.87,14.31,76.37,1.5,-6.75,3.7750000000000004,0.47,-0.263,1.686
NH,Periphery,0.43,0.19,579.144,3256.275,0.3666,0.8143,0.5579,1.1683,0.706,4.091,0.938,13.156,2.688,0.913,7.466,148.1,50.28,411.27,-4.1,-7.55,-0.22499999999999964,3.855,0.726,12.627
NJ,Connectors,0.49,0.15,3583.814,5209.485,0.3973,0.6998,0.3196,0.9577,0.48,0.75,0.348,1.837,0.734,0.425,1.407,38.85,22.51,74.48,8.3,4.675000000000001,10.775,0.45,-0.55,1.82
NM,Periphery,0.65,0.23,544.403,2129.361,0.3858,0.6222,0.2972,0.9396,0.574,1.219,0.176,3.077,1.227,0.229,2.737,67.94,12.69,151.5,5.0,-1.4249999999999994,8.0,1.035,0.02,2.863
NY,Hubs,0.63,0.41,9644.176,10059.651,0.772,0.955,0.5583,1.4592,0.6,0.629,0.293,1.141,0.67,0.403,1.134,38.05,22.88,64.43,7.4,3.45,10.775,-0.138,-0.853,1.042
OR,Connectors,0.71,0.21,544.482,1361.638,0.3357,0.4763,0.3928,0.5722,0.338,0.423,0.169,0.667,0.422,0.297,0.577,21.43,15.07,29.29,8.1,4.9,9.775,-0.086,-0.534,0.505
RI,Periphery,0.72,0.35,195.939,2567.506,0.5059,1.0795,0.2652,1.844,0.695,1.595,0.164,6.33,2.495,0.243,7.174,216.39,21.05,622.15,6.0,3.225,11.325000000000001,1.8,-0.319,7.507
SC,Connectors,0.63,0.09,1661.875,2270.603,0.4697,0.4151,0.311,0.6068,0.412,0.449,0.252,0.612,0.38,0.242,0.493,23.68,15.09,30.74,2.2,-7.65,6.550000000000001,-0.352,-0.528,0.212
SD,Periphery,0.56,0.35,142.704,800.655,0.4218,0.8927,0.2935,1.9443,0.375,1.004,0.053,3.521,2.204,0.212,5.706,88.01,8.48,227.82,18.5,-0.32499999999999973,119.05000000000004,2.149,-0.153,6.636
TN,Connectors,0.86,0.16,3114.803,1306.975,0.4918,0.4258,0.2937,0.5538,0.529,0.221,0.065,0.556,0.312,0.121,0.554,17.2,6.67,30.59,-2.0,-6.7749999999999995,5.775,0.062,-0.371,0.577
TX,Hubs,0.66,0.13,6181.785,9243.529,0.4426,1.0999,0.4864,1.9311,0.357,0.459,0.22,0.671,0.433,0.296,0.58,20.26,13.82,27.11,8.0,2.225,12.55,-0.126,-0.604,0.618
VA,Connectors,0.57,0.1,919.596,3341.16,0.3085,0.7184,0.3591,1.6621,0.249,0.712,0.092,2.083,0.579,0.248,1.272,27.75,11.86,60.93,3.4,-0.7749999999999999,8.875000000000002,0.778,-0.167,2.361
WI,Connectors,0.91,0.66,1051.536,1347.822,0.4473,0.5578,0.3252,1.0058,0.316,0.365,0.16,0.79,0.438,0.232,0.937,25.47,13.51,54.5,-1.9,-3.775,3.1000000000000014,-0.177,-0.695,0.494
WV,Periphery,0.71,0.56,391.948,426.12,0.3869,0.3962,0.3014,0.5401,0.355,0.331,0.11,0.774,0.357,0.223,0.777,22.56,14.14,49.2,-6.9,-13.774999999999999,2.5500000000000007,0.141,-0.332,0.865
WY,Periphery,0.63,0.28,132.745,299.059,0.4557,1.2531,0.5905,2.5284,1.245,0.917,0.243,4.464,1.947,0.389,7.072,91.54,18.27,332.6,14.2,-12.299999999999999,108.52500000000005,0.715,-0.664,5.039
