State,Training_split,Cluster,Coverage_95,Coverage_50,WIS,MAE_norm_mean,MAE_norm_q025,MAE_norm_q975,wMAPE_mean,wMAPE_q025,wMAPE_q975,PerCapita100k_mean,PerCapita100k_q025,PerCapita100k_q975,PeakShift_mean,PeakShift_q025,PeakShift_q975,PeakAmp_ratio_mean,PeakAmp_ratio_q025,PeakAmp_ratio_q975
AL,Train,Hubs,0.72,0.32,1518.626,0.4045,0.3033,0.6718,0.418,0.323,0.736,17.06,13.16,30.02,8.9,6.0,11.0,-0.306,-0.587,0.054
CA,Train,Periphery,0.66,0.49,17876.476,0.6821,0.3315,1.5695,0.525,0.338,0.828,20.8,13.4,32.8,7.5,4.0,11.0,-0.541,-0.848,-0.244
CO,Train,Connectors,0.72,0.36,2050.52,0.4022,0.3178,0.5991,0.428,0.366,0.528,18.71,16.0,23.09,10.2,7.0,16.0,-0.253,-0.647,0.323
CT,Train,Hubs,0.74,0.34,780.217,0.4468,0.366,0.5735,0.439,0.235,0.744,14.9,7.97,25.26,2.0,-1.0,5.0,0.086,-0.42,0.947
DC,Train,Connectors,0.83,0.52,481.481,0.805,0.389,1.7701,1.726,0.449,5.351,67.95,17.7,210.68,8.8,5.0,14.0,1.29,-0.777,5.318
DE,Train,Connectors,0.68,0.34,555.195,0.7028,0.3524,0.9526,0.822,0.315,1.406,37.34,14.33,63.88,-1.4,-1.0,6.0,0.802,-0.293,1.746
FL,Train,Hubs,0.66,0.28,10144.073,0.7734,0.477,1.1803,0.501,0.331,0.71,24.35,16.08,34.46,9.1,2.0,13.525000000000006,-0.329,-0.739,0.109
IA,Train,Connectors,0.83,0.4,409.804,0.3503,0.2624,0.6068,0.331,0.169,1.018,10.9,5.58,33.54,2.7,1.0,4.0,0.174,-0.272,1.376
ID,Train,Periphery,0.61,0.3,465.137,0.4535,0.2927,0.905,0.611,0.236,1.865,22.82,8.83,69.72,3.4,2.0,6.0,0.601,-0.088,2.833
IL,Train,Hubs,0.74,0.45,3146.139,0.5452,0.3025,1.4562,0.434,0.251,0.709,17.54,10.13,28.64,6.7,4.475,10.525000000000006,0.271,-0.547,0.842
IN,Train,Hubs,0.56,0.28,1001.702,0.3773,0.2798,0.8887,0.275,0.178,0.582,10.62,6.86,22.48,-4.3,-9.0,3.0,0.002,-0.524,0.535
KS,Train,Connectors,0.86,0.44,467.975,0.3463,0.2603,0.4666,0.284,0.197,0.38,12.07,8.39,16.17,4.5,1.475,7.0,-0.231,-0.582,0.179
KY,Train,Hubs,0.68,0.21,1070.49,0.3287,0.2602,0.6016,0.267,0.192,0.479,14.23,10.23,25.48,-5.0,-13.0,-1.0,-0.284,-0.558,-0.065
LA,Train,Connectors,0.58,0.37,1873.309,0.4268,0.3451,0.5514,0.458,0.332,0.581,20.7,15.0,26.27,-9.7,-12.0,-4.0,0.01,-0.456,0.518
MD,Train,Hubs,0.79,0.42,1313.803,0.3641,0.2689,0.4824,0.485,0.267,0.907,13.34,7.35,24.97,5.5,3.0,10.0,0.525,-0.228,1.639
ME,Train,Connectors,0.65,0.29,609.768,0.4609,0.3726,0.6651,0.541,0.435,0.83,20.53,16.51,31.49,-22.4,-39.0,95.0,-0.38,-0.667,-0.017
MI,Train,Hubs,0.77,0.44,1843.309,0.5063,0.2626,0.8946,0.352,0.166,0.522,14.27,6.73,21.13,-8.0,-10.0,-4.0,0.151,-0.38,1.135
MN,Train,Connectors,0.57,0.28,1346.967,0.3897,0.2765,0.7371,0.288,0.208,0.533,12.21,8.82,22.62,-7.6,-10.0,-3.0,-0.302,-0.553,-0.013
MO,Train,Hubs,0.89,0.35,1242.268,0.4291,0.3045,0.9258,0.468,0.212,0.961,17.4,7.89,35.68,0.2,-5.0,6.0,0.188,-0.529,1.235
MS,Train,Connectors,0.74,0.33,1039.624,0.4334,0.282,0.628,0.648,0.269,1.47,28.48,11.85,64.67,3.1,-5.0,7.0,0.459,-0.599,1.963
MT,Train,Connectors,0.77,0.43,421.365,0.6024,0.359,1.5537,0.906,0.263,3.73,36.88,10.73,151.91,-41.5,-108.0,4.0,0.311,-0.432,2.646
NC,Train,Hubs,0.67,0.28,3390.13,0.5024,0.2554,1.1229,0.4,0.184,0.674,18.05,8.31,30.43,1.0,-4.0,5.0,-0.485,-0.701,-0.037
NE,Train,Connectors,0.66,0.35,721.697,0.5982,0.3377,1.3877,0.875,0.244,3.192,31.25,8.72,114.03,0.8,-12.0,6.0,0.537,-0.306,3.03
NH,Train,Connectors,0.85,0.39,446.879,0.4742,0.3672,0.7223,0.536,0.292,1.176,23.25,12.65,51.01,-4.3,-6.0,-3.0,0.516,-0.454,2.214
NJ,Train,Hubs,0.7,0.33,3426.036,0.562,0.3375,0.8662,0.612,0.355,1.134,24.47,14.22,45.36,7.8,5.0,10.525000000000006,0.242,-0.79,2.346
NM,Train,Connectors,0.88,0.31,764.511,0.4206,0.2412,0.8647,0.89,0.222,4.899,37.93,9.46,208.68,5.5,-1.525,9.0,1.053,-0.18,8.571
NY,Train,Hubs,0.53,0.25,9919.9,0.8429,0.3953,1.6036,0.567,0.397,0.815,24.97,17.5,35.91,6.4,5.0,9.0,-0.437,-0.855,0.356
OR,Train,Periphery,0.79,0.43,903.931,0.4665,0.2379,1.5002,0.39,0.218,0.794,14.07,7.88,28.63,8.0,5.0,12.0,-0.355,-0.857,0.398
RI,Train,Connectors,0.83,0.55,489.393,0.6372,0.3526,1.5066,0.777,0.312,2.131,45.35,18.22,124.27,4.5,-0.5249999999999999,7.0,0.282,-0.546,1.694
SC,Train,Hubs,0.55,0.21,1482.248,0.4666,0.3794,0.59,0.386,0.268,0.524,18.18,12.65,24.74,3.4,0.4750000000000001,7.0,-0.261,-0.577,0.158
SD,Train,Connectors,0.65,0.31,200.81,0.4373,0.298,0.6813,0.528,0.215,1.384,17.91,7.28,46.91,2.5,0.0,6.0,0.489,-0.167,1.636
TN,Train,Hubs,0.55,0.32,2144.985,0.4518,0.3622,0.6465,0.401,0.256,0.722,18.59,11.87,33.5,1.7,-5.525,7.0,-0.127,-0.404,0.669
TX,Train,Hubs,0.65,0.38,7661.125,0.6286,0.2064,1.6074,0.402,0.212,0.705,14.49,7.66,25.42,9.4,3.475,12.0,-0.251,-0.559,0.393
VA,Train,Hubs,0.69,0.37,1321.547,0.3603,0.2396,0.86,0.301,0.199,0.437,10.48,6.93,15.19,3.0,-1.0,5.0,0.365,-0.1,1.064
WI,Train,Connectors,0.81,0.49,1090.372,0.4539,0.2748,1.009,0.32,0.169,0.671,14.5,7.66,30.42,-2.3,-8.0,0.0,-0.369,-0.757,0.017
WV,Train,Connectors,0.68,0.4,436.146,0.3729,0.2657,0.5871,0.283,0.197,0.521,14.88,10.34,27.38,-3.6,-12.0,3.0,-0.062,-0.281,0.19
